event,type,date
task buchs done,cmd,2023-05-29 15:23:09.288821684 +02:00
task buchs done,cmd,2023-05-29 15:41:59.418572482 +02:00
profile,cmd,2023-05-29 15:42:04.901838448 +02:00
task buchs done,cmd,2023-05-29 15:52:56.045162693 +02:00
task buchs done,cmd,2023-05-29 15:57:47.709350274 +02:00
task buchs done,cmd,2023-05-29 16:03:09.207845432 +02:00
task buchs done,cmd,2023-05-29 16:08:25.662409177 +02:00
task buchs done,cmd,2023-05-29 16:13:35.576257574 +02:00
task buchs done,cmd,2023-05-29 16:18:49.896999862 +02:00
task buchs done,cmd,2023-05-29 16:24:08.790932224 +02:00
task buchs done,cmd,2023-05-29 16:29:33.302208412 +02:00
pause,log,2023-05-29 16:29:40.216663769 +02:00
task buchs done,cmd,2023-05-29 16:59:37.889318865 +02:00
task buchs done,cmd,2023-05-29 17:04:52.487939941 +02:00
task buchs done,cmd,2023-05-29 17:15:22.371878600 +02:00
task buchs done,cmd,2023-05-29 17:21:31.960556437 +02:00
task buchs done,cmd,2023-05-29 17:26:22.315196965 +02:00
+5xp,xp,2023-05-29 17:26:29.367800112 +02:00
task plan done,cmd,2023-05-29 17:26:29.376475826 +02:00
task buchs done,cmd,2023-05-29 17:26:34.038817379 +02:00
task buchs done,cmd,2023-05-29 17:32:02.991386409 +02:00
task buchs done,cmd,2023-05-29 17:37:19.578129781 +02:00
task buchs done,cmd,2023-05-29 17:42:39.369223983 +02:00
task buchs done,cmd,2023-05-29 17:47:48.658742531 +02:00
task buchs done,cmd,2023-05-29 18:04:27.665517589 +02:00
task buchs done,cmd,2023-05-29 18:09:28.056804365 +02:00
task buchs done,cmd,2023-05-29 18:14:39.877157325 +02:00
task buchs done,cmd,2023-05-29 18:20:07.758951164 +02:00
pause,log,2023-05-29 18:25:50.149499746 +02:00
task buchs done,cmd,2023-05-29 18:36:23.191117658 +02:00
task buchs done,cmd,2023-05-29 18:42:15.988055805 +02:00
task buchs done,cmd,2023-05-29 18:47:45.581337026 +02:00
task buchs done,cmd,2023-05-29 18:53:15.721658010 +02:00
task buchs done,cmd,2023-05-29 18:58:33.430053899 +02:00
task buchs done,cmd,2023-05-29 19:03:45.066122501 +02:00
task buchs done,cmd,2023-05-29 19:08:50.593098675 +02:00
add task lvl1,cmd,2023-06-08 14:59:33.943555037 +02:00
show,cmd,2023-06-08 15:03:07.726673984 +02:00
show,cmd,2023-06-08 15:03:43.110200679 +02:00
task 14 set tags recurring,cmd,2023-06-08 15:04:07.242508351 +02:00
task buchs done,cmd,2023-06-08 15:04:37.638210138 +02:00
+5xp,xp,2023-06-08 15:05:37.314711258 +02:00
+5xp,xp,2023-06-08 15:05:37.319078283 +02:00
task master done,cmd,2023-06-08 15:05:37.326009593 +02:00
task buchs done,cmd,2023-06-08 15:05:44.334220970 +02:00
+5xp,xp,2023-06-08 15:07:55.781389998 +02:00
task lvl1 done,cmd,2023-06-08 15:07:55.788944907 +02:00
+5xp,xp,2023-06-08 15:08:09.425474455 +02:00
task code done,cmd,2023-06-08 15:08:09.432941890 +02:00
+5xp,xp,2023-06-08 15:11:19.765013453 +02:00
task lvl1 done,cmd,2023-06-08 15:11:19.772387102 +02:00
+5xp,xp,2023-06-08 15:11:25.077582102 +02:00
task lvl1 done,cmd,2023-06-08 15:11:25.085549744 +02:00
show,cmd,2023-06-08 15:17:42.494461531 +02:00
add task wedata rec,cmd,2023-06-08 15:18:02.293971647 +02:00
+5xp,xp,2023-06-08 15:18:16.485284061 +02:00
task wedata done,cmd,2023-06-08 15:18:16.492134008 +02:00
task satom done,cmd,2023-06-08 15:23:59.779218800 +02:00
pause,log,2023-06-08 15:24:15.506145649 +02:00
show,cmd,2023-06-08 15:35:09.474515691 +02:00
+5xp,xp,2023-06-08 15:35:20.819695040 +02:00
task interaction done,cmd,2023-06-08 15:35:20.824090437 +02:00
+5xp,xp,2023-06-08 15:40:49.516800369 +02:00
task wedata done,cmd,2023-06-08 15:40:49.524624291 +02:00
task satom done,cmd,2023-06-08 15:47:46.096520207 +02:00
+5xp,xp,2023-06-08 15:53:05.409890208 +02:00
task interaction done,cmd,2023-06-08 15:53:05.416805030 +02:00
+5xp,xp,2023-06-08 15:58:43.498084965 +02:00
task wedata done,cmd,2023-06-08 15:58:43.505235174 +02:00
task satom done,cmd,2023-06-08 16:04:19.026202875 +02:00
add task satom rec,cmd,2023-06-08 16:04:37.161242421 +02:00
+5xp,xp,2023-06-08 16:04:39.117043811 +02:00
task satom done,cmd,2023-06-08 16:04:39.125612531 +02:00
+5xp,xp,2023-06-08 16:10:45.131789354 +02:00
task interaction done,cmd,2023-06-08 16:10:45.135058682 +02:00
+5xp,xp,2023-06-08 16:26:59.953221320 +02:00
task wedata done,cmd,2023-06-08 16:26:59.957002987 +02:00
+5xp,xp,2023-06-08 16:39:29.314588690 +02:00
task interaction done,cmd,2023-06-08 16:39:29.321593526 +02:00
+5xp,xp,2023-06-08 17:07:33.979716459 +02:00
task interaction done,cmd,2023-06-08 17:07:33.987168382 +02:00
show,cmd,2023-06-08 17:23:24.340537284 +02:00
+5xp,xp,2023-06-08 17:23:38.882021717 +02:00
task satom done,cmd,2023-06-08 17:23:38.886966596 +02:00
